,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC245014.3,11.6681910689738,1.65278734832557,0.453768054068294,13.8226004287191,0.000996461340487977,0.0285122551510651
AC245041.2,4.96452375752343,-0.73888368949128,0.546198298708584,1.88940862518639,0.388794515549156,0.999822123505485
ACAA1,14.1809592518481,-0.224488158883004,0.311514309896396,0.604034995312482,0.739325128319407,0.999822123505485
ACAA2,15.5016931862795,-0.172596887051937,0.313376980650422,0.300874175071101,0.860331853902035,0.999822123505485
ACACA,17.4144282870976,0.194995704701224,0.309489642087827,0.466777482574152,0.791845690571865,0.999822123505485
ACAD9,22.018463255495,-0.0415856953687685,0.249543690757455,0.299090109159494,0.861099640663278,0.999822123505485
ACADM,4.93076746728046,-0.225065181332624,0.505951778620605,0.334803477684716,0.845859728361594,0.999822123505485
ACADVL,79.022459778198,0.0119370126921353,0.142374339173235,0.0956269534472511,0.953311585295531,0.999822123505485
ACAP2,8.35215808366553,0.112463368674041,0.399412399937179,0.0994946839723951,0.951469790601711,0.999822123505485
ACAT1,16.2712844064345,-0.0658864511788893,0.30546700575508,0.16065468262012,0.922814221724111,0.999822123505485
ACAT2,14.590632759165,0.773259861613763,0.323099826354804,5.65867715317891,0.0590518990637332,0.580709853732683
ACBD3,5.49315837266975,-0.100814664114683,0.502268077122176,0.208524137161731,0.900989145531816,0.999822123505485
ACBD5,5.14533655977516,-0.140537128345331,0.496490447707677,0.133014535463083,0.935656115734156,0.999822123505485
ACBD6,8.145149400389,-0.36833967154949,0.397905088448942,1.20702531275435,0.546887231265809,0.999822123505485
ACD,6.67339517671161,-0.0712825510809445,0.453128603931512,0.663116897323739,0.717804200295622,0.999822123505485
ACIN1,23.0677888589015,0.387491211943887,0.247018926850184,3.00516972967937,0.222554143625939,0.999822123505485
ACLY,21.6476604553557,0.121452429415801,0.258496738467421,0.285314092287344,0.86705137652439,0.999822123505485
